,AAPL.O mean ret,MSFT.O mean ret,INTC.O mean ret,AMZN.O mean ret,GS.N mean ret,AAPL.O ret,MSFT.O ret,INTC.O ret,AMZN.O ret,GS.N ret,AAPL.O improvs,MSFT.O improvs,INTC.O improvs,AMZN.O improvs,GS.N improvs,AAPL.O falses,MSFT.O falses,INTC.O falses,AMZN.O falses,GS.N falses,AAPL.O falses,MSFT.O falses,INTC.O falses,AMZN.O falses,GS.N falses,AAPL.O f1 mean,MSFT.O f1 mean,INTC.O f1 mean,AMZN.O f1 mean,GS.N f1 mean,AAPL.O f1 std,MSFT.O f1 std,INTC.O f1 std,AMZN.O f1 std,GS.N f1 std
ma_feat rsi_feat MACD_feat,-0.142243214250996,-0.19324641714651117,-0.056660142308189554,-0.12582935022405353,-0.032103281343460285,0.4394297948590061,0.3281852268960844,0.2718328456383185,0.3512007506411754,0.3494388882834354,365.0,260.0,392.0,352.0,445.0,189.6973026973027,194.17982017982018,188.3156843156843,183.02597402597402,189.67332667332667,9.687480720872836,9.331432492797262,9.533847269399889,9.380369111891312,9.249225795826243,0.6037572003840046,0.6125525710325066,0.6582276661693034,0.6824307356883762,0.6336088834817187,0.02736562646014746,0.026651057796729025,0.026438889697626172,0.022927766185835974,0.025425828152596336
sma_feat lag_feat rsi_feat ,-0.147205062749527,-0.1843197532559905,-0.04414673873874515,-0.1325823939267315,-0.02728175485224921,0.4265437595977029,0.3343762203557863,0.2525858456483909,0.3629273964242578,0.33848949048781224,350.0,280.0,409.0,339.0,458.0,188.94405594405595,193.95104895104896,187.7972027972028,183.0989010989011,190.28871128871128,9.27215547393739,9.548015573856244,9.425912802897772,8.92139051892747,9.123571802619976,0.6051665158307711,0.6133339709620925,0.6599840492281618,0.6825054979581481,0.6323891610425363,0.02618402555409419,0.026937136019342438,0.025058516739044686,0.021575229831490413,0.02457140018494371
sma_feat lag_feat MACD_feat,-0.15891972129260062,-0.19767363886272354,-0.07669988368098214,-0.13060292624481684,-0.036371346346810926,0.44654632803497724,0.35289129868835384,0.2887161017073562,0.3620024691545133,0.35311796969074205,347.0,273.0,382.0,358.0,440.0,189.26873126873127,193.76823176823177,188.56943056943058,182.80619380619382,189.66533466533465,9.508454726647821,9.691760922052802,9.6287810534576,9.138074282823576,9.46894329441713,0.6050658007244384,0.6137335937161401,0.6577445275228505,0.6828074847829219,0.6333339518747387,0.02669958437857996,0.027781444342910185,0.025066068493130856,0.022349686985019337,0.025834739579513547
sma_feat rsi_feat MACD_feat,-0.16746517415602793,-0.1903987545671055,-0.04602717756958697,-0.12495291220221033,-0.023277763620916495,0.4282541751864794,0.3431697052679515,0.26905570091290526,0.35590849465418317,0.3461279092434167,349.0,286.0,415.0,345.0,475.0,189.83516483516485,193.92907092907092,187.85914085914087,183.02397602397602,190.2077922077922,9.213457667879213,9.36258319247226,9.086866283881312,9.241721948610259,9.474533192763612,0.6038956015148194,0.6134718259570361,0.6590528733914567,0.6823436427017835,0.6316344314130906,0.026539190958491662,0.026666727954597364,0.02483431594020814,0.022437688257707637,0.025851502049730232
lag_feat rsi_feat MACD_feat,-0.1245641060208363,-0.16868733079878384,-0.04791680332057017,-0.09057727096362064,-0.009680280769690042,0.4326418090489556,0.3437373606986742,0.26382747559468844,0.3503953627796447,0.33667686557195065,384.0,297.0,425.0,409.0,475.0,188.8991008991009,193.3866133866134,188.014985014985,182.64635364635365,189.85914085914087,9.6674096422366,9.475620329001188,9.393975474993278,9.162903971493375,9.507951349325417,0.6043280718485199,0.6141005164476487,0.6593550637995195,0.6832213141430017,0.6330019944457507,0.027585179211863486,0.02671053814599241,0.025174582986840843,0.022077806491196672,0.025954422851970024
ma_feat sma_feat lag_feat rsi_feat ,-0.1432856977531641,-0.17844665871263055,-0.05919903388897332,-0.11082490286465693,-0.021831104645670008,0.43798545777655645,0.3480000386454077,0.2830781106187381,0.34706773628074794,0.33746132489233427,364.0,290.0,415.0,378.0,464.0,189.05894105894106,193.36063936063937,188.4975024975025,183.017982017982,189.83916083916083,9.396356872614106,9.451286113054095,9.568920720553793,8.882211229399832,9.032225910322712,0.605124703867238,0.6149017208504285,0.658548667901407,0.6828620488932859,0.6332903330767046,0.026987159238102007,0.026465394779213655,0.024839190937845618,0.021270862100634266,0.024936313541579498
ma_feat sma_feat lag_feat MACD_feat,-0.1278258072333223,-0.18472283109539514,-0.0553388287708237,-0.12251731085965448,-0.01806099398924267,0.4398812787932581,0.33948618598349645,0.27084457279162777,0.37859599067743893,0.3565365764354758,371.0,275.0,419.0,384.0,465.0,189.22677322677322,193.74725274725276,188.4075924075924,183.99200799200798,189.96903096903097,9.667549972848475,9.547515642566673,9.570041917238527,9.448276883323018,9.301077354803583,0.6042484058769976,0.6137962453192229,0.657881831754688,0.6801676916355615,0.6325061239710293,0.027154214594606606,0.02718371865501408,0.025899920392292202,0.022674162757824568,0.024897589480220677
ma_feat sma_feat rsi_feat MACD_feat,-0.1769083948649311,-0.1871957772434378,-0.058656855973848426,-0.11738066818044617,-0.012842063843553735,0.4415479603907567,0.34741259033798405,0.26998994425684875,0.34906668979787403,0.34778691509617027,322.0,294.0,389.0,358.0,479.0,189.23776223776224,193.7982017982018,188.5204795204795,183.31968031968032,189.53446553446554,9.768593173400781,9.223298583654163,9.382847657818475,8.867564620441302,9.14095514369593,0.6043368534245277,0.613223953250422,0.6577623775941857,0.6816397602955093,0.6332268898684726,0.02794241882246432,0.026001422168643446,0.0246806032659235,0.02138306002469766,0.025080896086291403
ma_feat lag_feat rsi_feat MACD_feat,-0.13404003721259758,-0.19658190602541328,-0.05861643633588665,-0.10940867873343604,-0.02032507549366888,0.4178547066211192,0.3537366649185189,0.28028567685210104,0.34833135254794445,0.35731099391846777,382.0,295.0,417.0,375.0,467.0,189.22977022977022,193.80519480519482,187.86113886113887,182.92507492507494,190.1908091908092,8.945566099870538,9.547199222128597,9.42845153255292,9.154855576107161,9.33608887300006,0.6048610190541065,0.6131155623156154,0.6594401251984602,0.6825660978910596,0.6319034954972143,0.025944751621588817,0.027702027376246528,0.02498696650025287,0.022219748634917304,0.02504484104832771
sma_feat lag_feat rsi_feat MACD_feat,-0.1556085840488861,-0.17019761631628338,-0.0535452008792435,-0.11545989188734672,0.006329642819432775,0.42981432966768013,0.3548781954520815,0.27086101257105827,0.3942410576048597,0.3582738419788271,349.0,308.0,407.0,368.0,496.0,189.43656343656343,193.6823176823177,188.54245754245756,183.37862137862138,189.981018981019,9.38393423773961,9.635194706023176,9.61490746468449,8.76672701169043,9.302722147879042,0.6040844974032104,0.6131018004761748,0.6574056512335379,0.6814326440766776,0.6316028914996008,0.02615700438002074,0.027221717588486908,0.02617341385604216,0.021435733326391683,0.025370579431603077
ma_feat sma_feat lag_feat rsi_feat MACD_feat,-0.17158429926404903,-0.2034020100216697,-0.06510423339676823,-0.12826796081902528,-0.013050655416729414,0.43674571485495556,0.3458986220304152,0.2834090897219431,0.36248409841889084,0.3422537039344946,329.0,274.0,395.0,350.0,488.0,189.28871128871128,193.47052947052947,188.26373626373626,183.36263736263737,190.3126873126873,9.731575537268473,9.30963912401446,9.243179843883468,8.966680692283107,9.45722627788554,0.604372897600069,0.6138151924351506,0.6583958658359601,0.6813619969848095,0.6307072622344887,0.02677854246492829,0.026333264906825707,0.02522303084760991,0.021461882636983322,0.026201967130485317
